# VGN-Haltestellen (ZHV/DELFI, gefiltert auf VGN-Bounding-Box)
# Offizielle Quelle zum Aktualisieren: https://www.vgn.de/opendata/GTFS.zip
# Lizenz: CC BY 3.0 DE — VGN – Verkehrsverbund Großraum Nürnberg GmbH
id	name
de:09477:3780	Abzw Kosermühle
de:09674:15446	Abzw Kraisdorf
de:09473:15301	Abzw Krumbach
de:09477:6433	Abzw Kröglitzen
de:09374:80720	Abzw Kütschenrain
de:09477:3873	Abzw Limmersdorf (Friesen)
de:09476:16115	Abzw Löhlein
de:09477:3854	Abzw Muckenreuth
de:09477:6745	Abzw Neudorf
de:09477:3687	Abzw Neuensorg (b. Marktleugast)
de:09373:17676	Abzw Neuhaid (b. Lupburg)
de:09477:15551	Abzw Neuseidenhof
de:09473:15081	Abzw Neuses am Brand
de:09674:16282	Abzw Nützelbach
de:09475:80809	Abzw Pulschnitzberg
de:09373:17645	Abzw Ramertshofen
de:09477:6504	Abzw Schindelwald
de:09477:1710	Abzw Schwand
de:09477:16187	Abzw Schwarzholz
de:09477:3859	Abzw Schwingen
de:09477:3744	Abzw Schöndorf
de:09477:3876	Abzw Tannfeld
de:09476:16064	Abzw Theisenort
de:09473:15080	Abzw Trübenbach
de:09674:27602	Abzw Weisbrunn
de:09571:13242	Abzw. Adelmannssitz
de:09571:13115	Abzw. Aich (b. Neuendettelsau)
de:09371:18232	Abzw. Aicha (b. Birgland)
de:09574:7406	Abzw. Aicha (b. Happurg)
de:09371:18768	Abzw. Aichazandt
de:09375:3	Abzw. Aichkirchen
de:09373:17336	Abzw. Allershofen
de:09474:9558	Abzw. Almos
de:09371:18521	Abzw. Altenricht
de:09571:13402	Abzw. Altersberg
de:09472:23953	Abzw. Althaidhof
de:09373:17890	Abzw. Ammelhofen
de:09576:8363	Abzw. Appelhof
de:09375:85	Abzw. Arnest
de:09576:8490	Abzw. Attenhofen
de:09361:19907	Abzw. Atzlricht
de:09574:7908	Abzw. Au (b. Simmelsdorf)
de:09576:8873	Abzw. Aue (b. Thalmässing)
de:09373:17516	Abzw. Aßlschwang
de:09375:75	Abzw. Baiern
de:09373:17611	Abzw. Ballertshofen
de:09571:12884	Abzw. Bauzenweiler
de:09571:12193	Abzw. Berbersbach
de:09571:13169	Abzw. Berglein
de:09375:6	Abzw. Bergmatting
de:09373:17887	Abzw. Bernthal
de:09571:12275	Abzw. Binzwangen
de:09575:14635	Abzw. Birkach (b. Markt Taschendorf)
de:09571:11751	Abzw. Birkach (b. Windelsbach)
de:09571:12538	Abzw. Birkenfels
de:09373:17861	Abzw. Birkenlach
de:09576:8492	Abzw. Birkhof (b. Greding)
de:09472:23182	Abzw. Bischofsgrün
de:09371:19253	Abzw. Bittenbrunn
de:09576:8493	Abzw. Bleimerschloß
de:09575:14281	Abzw. Bottenbach
de:09571:13842	Abzw. Bottenweiler
de:09571:11922	Abzw. Botzenweiler
de:09572:6188	Abzw. Brand (Eckental)
de:09373:17698	Abzw. Braunmühle
de:09678:27095	Abzw. Brebersdorf
de:09371:18891	Abzw. Breitenstein
de:09561:11267	Abzw. Brodswinden
de:09375:1018	Abzw. Brunoder
de:09472:23077	Abzw. Brünnberg
de:09577:16257	Abzw. Bubenheim
de:09575:14571	Abzw. Buchen
de:09371:18527	Abzw. Buchenöd
de:09471:20765	Abzw. Burgellern
de:09474:9138	Abzw. Burggaillenreuth
de:09371:18611	Abzw. Burgstall (b. Hirschau)
de:09571:11675	Abzw. Burgstall (b. Rothenb.)
de:09371:18237	Abzw. Burkartshof
de:09571:12715	Abzw. Buschhof
de:09373:17614	Abzw. Buschhof (b. Lauterh.)
de:09373:17666	Abzw. Bux
de:09375:192	Abzw. Buxlohe
de:09474:9345	Abzw. Bösenbirkig
de:09577:15607	Abzw. Büchelberg (b.Gunzenh.)
de:09371:80823	Abzw. Bürgerwald
de:09577:16157	Abzw. Cronheim
de:09561:11287	Abzw. Dautenwinden
de:09373:17668	Abzw. Degerndorf
de:09371:19379	Abzw. Deinsdorf
de:09371:18827	Abzw. Deinshof
de:09571:13507	Abzw. Dennenlohe (Unterschwan)
de:09575:14226	Abzw. Dettendorf
de:09373:17669	Abzw. Dettenhofen (b. Lupburg)
de:09371:18238	Abzw. Dickatshof
de:09375:8	Abzw. Diesenbach
de:09373:17951	Abzw. Diesenhof
de:09571:12363	Abzw. Dietenholz
de:09371:18762	Abzw. Dietersberg/Illschwang
de:09373:17816	Abzw. Dietlhof
de:09474:9706	Abzw. Dietzhof
de:09373:17618	Abzw. Dippersricht
de:09371:18278	Abzw. Dollmannsberg
de:09561:11295	Abzw. Dombach im Loch
de:09561:11297	Abzw. Dornberg (b. Ansbach)
de:09678:25550	Abzw. Dächheim
de:09472:22726	Abzw. Döhlau (Kr BTLA)
de:09474:9731	Abzw. Dörfles
de:09674:27827	Abzw. Dörflis
de:09576:8155	Abzw. Dürrenhembach
de:09576:8308	Abzw. Dürrenmungenau
de:09471:21192	Abzw. Eberau
de:09371:18336	Abzw. Eberhardsbühl
de:09371:19325	Abzw. Ebersbach (b. Vilseck)
de:09474:9183	Abzw. Ebersbach (b.Neunk.a.B.)
de:09575:14288	Abzw. Eckenberg
de:09471:21671	Abzw. Eckersbach
de:09576:8900	Abzw. Eckmannshofen
de:09573:5076	Abzw. Egersdorf
de:09575:14033	Abzw. Eggensee
de:09577:16523	Abzw. Eggenthal (b.Heidenheim)
de:09373:17226	Abzw. Eglasmühle
de:09371:19255	Abzw. Eglhofen
de:09561:11303	Abzw. Egloffswinden
de:09371:19256	Abzw. Ehringsfeld
de:09373:17929	Abzw. Eichenhofen
de:09373:17733	Abzw. Eichensee
de:09472:23146	Abzw. Eichenstruth
de:09373:17619	Abzw. Eidelberg
de:09472:23954	Abzw. Eimersmühle
de:09375:10	Abzw. Einthal
de:09373:17891	Abzw. Eispertshofen
de:09472:22842	Abzw. Elbersberg
de:09371:18529	Abzw. Ellersdorf (b.Freudenb.)
de:09561:11306	Abzw. Elpersdorf (b. Ansbach)
de:09574:7443	Abzw. Engenthal (b. Hartenst.)
de:09574:7811	Abzw. Enzenreuth
de:09474:9185	Abzw. Ermreuth
de:09573:5291	Abzw. Erzleitenmühle
de:09472:23015	Abzw. Escherlich
de:09371:18533	Abzw. Etsdorf
de:09571:12036	Abzw. Eybburg
de:09576:8878	Abzw. Eysölden
de:09472:23524	Abzw. Fernreuth
de:09472:23283	Abzw. Fichtelberg
de:09577:16163	Abzw. Filchenhard
de:09375:213	Abzw. Flinksberg
de:09371:18104	Abzw. Forsthof(b.Sulzb-Rosenb)
de:09472:23530	Abzw. Freienfels
de:09371:18831	Abzw. Freischweibach
de:09471:21611	Abzw. Freudeneck
de:09373:17123	Abzw. Friedlmühle
de:09471:20730	Abzw. Friesen
de:09571:12817	Abzw. Fritzmühle
de:09373:17548	Abzw. Fuchsmühle (b.Freystadt)
de:09571:13658	Abzw. Gailnau
de:09678:28052	Abzw. Garstadt
de:09373:17933	Abzw. Gastelshof
de:09371:18339	Abzw. Gaßenhof
de:09571:13597	Abzw. Gebersdorf/Weihenzell
de:09371:18781	Abzw. Gehrsricht
de:09462:22339	Abzw. Geigenreuth
de:09472:23679	Abzw. Geislareuth
de:09577:16482	Abzw. Geislohe b. Haundorf
de:09571:12039	Abzw. Georgenhaag
de:09371:18431	Abzw. Gerhardsberg
de:09674:15107	Abzw. Geroldswind/B 279
de:09472:23024	Abzw. Gesees/Blumenau
de:09371:18841	Abzw. Giggelsberg
de:09571:11759	Abzw. Glashofen
de:09571:12046	Abzw. Goldbühl
de:09573:5083	Abzw. Gonnersdorf (b.Cadolzb.)
de:09472:23463	Abzw. Gosen
de:09373:17671	Abzw. Gottesberg (b.Lupburg)
